filename,attack,defense,nm,accuracy,accuracy_pct
shifted_mean_attack_tr_mean_25.log,MS,Trim-mean,25,0.6952618453865337,69.52618453865337
shifted_mean_attack_tr_mean_30.log,MS,Trim-mean,30,0.6937655860349127,69.37655860349126
shifted_mean_attack_tr_mean_5.log,MS,Trim-mean,5,0.7077306733167082,70.77306733167083
sign_flipping_attack_bulyan_10.log,SF,Bulyan,10,0.7102244389027431,71.02244389027432
sign_flipping_attack_bulyan_15.log,SF,Bulyan,15,0.7072319201995012,70.72319201995012
sign_flipping_attack_bulyan_20.log,SF,Bulyan,20,0.7067331670822943,70.67331670822942
sign_flipping_attack_bulyan_25.log,SF,Bulyan,25,0.7067331670822943,70.67331670822942
sign_flipping_attack_bulyan_30.log,SF,Bulyan,30,0.7027431421446384,70.27431421446384
sign_flipping_attack_bulyan_5.log,SF,Bulyan,5,0.7117206982543641,71.17206982543641
sign_flipping_attack_fltrust_10.log,SF,FLTrust,10,0.6688279301745635,66.88279301745635
sign_flipping_attack_fltrust_15.log,SF,FLTrust,15,0.7067331670822943,70.67331670822942
sign_flipping_attack_fltrust_20.log,SF,FLTrust,20,0.6688279301745635,66.88279301745635
sign_flipping_attack_fltrust_25.log,SF,FLTrust,25,0.6713216957605985,67.13216957605985
sign_flipping_attack_fltrust_30.log,SF,FLTrust,30,0.6688279301745635,66.88279301745635
sign_flipping_attack_fltrust_5.log,SF,FLTrust,5,0.7067331670822943,70.67331670822942
sign_flipping_attack_mandera_detect_10.log,SF,MANDERA,10,0.7107231920199502,71.07231920199501
sign_flipping_attack_mandera_detect_15.log,SF,MANDERA,15,0.7112219451371571,71.12219451371571
sign_flipping_attack_mandera_detect_20.log,SF,MANDERA,20,0.7097256857855362,70.97256857855362
sign_flipping_attack_mandera_detect_25.log,SF,MANDERA,25,0.7062344139650872,70.62344139650872
sign_flipping_attack_mandera_detect_30.log,SF,MANDERA,30,0.7112219451371571,71.12219451371571
sign_flipping_attack_mandera_detect_5.log,SF,MANDERA,5,0.7042394014962593,70.42394014962593
sign_flipping_attack_median_10.log,SF,Median,10,0.6912718204488778,69.12718204488777
sign_flipping_attack_median_15.log,SF,Median,15,0.6817955112219451,68.17955112219451
sign_flipping_attack_median_20.log,SF,Median,20,0.6693266832917706,66.93266832917706
sign_flipping_attack_median_25.log,SF,Median,25,0.6688279301745635,66.88279301745635
sign_flipping_attack_median_30.log,SF,Median,30,0.6688279301745635,66.88279301745635
sign_flipping_attack_median_5.log,SF,Median,5,0.6992518703241896,69.92518703241896
sign_flipping_attack_multi_krum_10.log,SF,Krum,10,0.6847880299251871,68.47880299251871
sign_flipping_attack_multi_krum_15.log,SF,Krum,15,0.6837905236907731,68.37905236907731
sign_flipping_attack_multi_krum_20.log,SF,Krum,20,0.6872817955112219,68.7281795511222
sign_flipping_attack_multi_krum_25.log,SF,Krum,25,0.6927680798004987,69.27680798004987
sign_flipping_attack_multi_krum_30.log,SF,Krum,30,0.5805486284289276,58.05486284289276
sign_flipping_attack_multi_krum_5.log,SF,Krum,5,0.6917705735660847,69.17705735660847
sign_flipping_attack_tr_mean_10.log,SF,Trim-mean,10,0.7017456359102244,70.17456359102245
sign_flipping_attack_tr_mean_15.log,SF,Trim-mean,15,0.6882793017456359,68.82793017456359
sign_flipping_attack_tr_mean_20.log,SF,Trim-mean,20,0.6703241895261846,67.03241895261846
sign_flipping_attack_tr_mean_25.log,SF,Trim-mean,25,0.6688279301745635,66.88279301745635
sign_flipping_attack_tr_mean_30.log,SF,Trim-mean,30,0.6688279301745635,66.88279301745635
sign_flipping_attack_tr_mean_5.log,SF,Trim-mean,5,0.7012468827930175,70.12468827930175
zero_gradient_attack_bulyan_10.log,ZG,Bulyan,10,0.7072319201995012,70.72319201995012
zero_gradient_attack_bulyan_15.log,ZG,Bulyan,15,0.7072319201995012,70.72319201995012
zero_gradient_attack_bulyan_20.log,ZG,Bulyan,20,0.7042394014962593,70.42394014962593
zero_gradient_attack_bulyan_25.log,ZG,Bulyan,25,0.7062344139650872,70.62344139650872
